object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Size in pixels,Radii of the object_0,Radii of the object_1,Total Intensity_0,Total Intensity_1,Total Intensity_2,Total Intensity_3,Center of the object_0,Center of the object_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Maximum intensity_3,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,PrincipalAxes_9,PrincipalAxes_10,PrincipalAxes_11,PrincipalAxes_12,PrincipalAxes_13,PrincipalAxes_14,PrincipalAxes_15,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Mean Intensity_3,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Minimum intensity_3,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Variance of Intensity_3,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Total Intensity in neighborhood_3,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Maximum intensity in neighborhood_3,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Mean Intensity in neighborhood_3,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Minimum intensity in neighborhood_3,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Variance of Intensity in neighborhood_3
0,0,1,0,Label 2,0.29,0.71,317.0,7.15483,3.71975,38819.0,38819.0,38819.0,80835.0,346.252,7.62776,361.0,17.0,334.0,0.0,131.0,131.0,131.0,255.0,0.57735,0.0,-0.788675,-0.211325,0.57735,0.0,0.211325,0.788675,0.57735,0.0,0.57735,-0.57735,0.0,1.0,0.0,0.0,0.846123,-0.532988,-0.532988,-0.846123,122.457,122.457,122.457,255.0,113.0,113.0,113.0,255.0,16.122,16.122,16.122,0.0,312956.0,312956.0,312956.0,754035.0,188.0,188.0,188.0,255.0,105.836,105.836,105.836,255.0,60.0,60.0,60.0,255.0,116.201,116.201,116.201,0.0
1,0,2,0,Label 2,0.45,0.55,840.0,17.1063,9.19365,112663.0,112663.0,112663.0,214200.0,501.315,14.381,525.0,37.0,463.0,0.0,169.0,169.0,169.0,255.0,0.57735,0.707107,0.0,0.408248,0.57735,-0.707107,0.0,0.408248,0.57735,0.0,0.0,-0.816497,0.0,0.0,1.0,-0.0,0.915304,0.402764,0.402764,-0.915304,134.123,134.123,134.123,255.0,109.0,109.0,109.0,255.0,162.603,162.603,162.603,0.0,549457.0,549457.0,549457.0,1.30305e+06,165.0,165.0,165.0,255.0,107.526,107.526,107.526,255.0,86.0,86.0,86.0,255.0,124.214,124.214,124.214,0.0
2,0,3,0,Label 1,0.56,0.44,294.0,9.63877,2.61347,34912.0,34912.0,34912.0,74970.0,552.167,9.28231,568.0,19.0,537.0,0.0,126.0,126.0,126.0,255.0,0.57735,0.707107,0.408248,0.0,0.57735,-0.707107,0.408248,0.0,0.57735,0.0,-0.816497,0.0,0.0,0.0,-0.0,1.0,0.862117,-0.506709,-0.506709,-0.862117,118.748,118.748,118.748,255.0,110.0,110.0,110.0,255.0,12.3856,12.3856,12.3856,0.0,338931.0,338931.0,338931.0,832575.0,153.0,153.0,153.0,255.0,103.807,103.807,103.807,255.0,84.0,84.0,84.0,255.0,183.914,183.914,183.914,0.0
3,0,4,0,Label 1,0.67,0.33,265.0,14.1983,1.84418,34549.0,34549.0,34549.0,67575.0,1231.37,2.44528,1260.0,7.0,1210.0,0.0,174.0,174.0,174.0,255.0,0.57735,0.707107,0.0,0.408248,0.57735,-0.707107,0.0,0.408248,0.57735,0.0,0.0,-0.816497,0.0,0.0,1.0,-0.0,0.998855,-0.0478386,-0.0478386,-0.998855,130.374,130.374,130.374,255.0,113.0,113.0,113.0,255.0,186.74,186.74,186.74,0.0,322485.0,322485.0,322485.0,791520.0,138.0,138.0,138.0,255.0,103.893,103.893,103.893,255.0,81.0,81.0,81.0,255.0,37.1404,37.1404,37.1404,0.0
4,0,5,0,Label 1,0.79,0.21,485.0,12.9857,4.11891,61332.0,61332.0,61332.0,123675.0,1736.29,55.1258,1750.0,75.0,1711.0,39.0,158.0,158.0,158.0,255.0,0.57735,0.707107,0.408248,0.0,0.57735,-0.707107,0.408248,0.0,0.57735,0.0,-0.816497,0.0,0.0,0.0,-0.0,1.0,0.717824,0.696224,0.696224,-0.717824,126.458,126.458,126.458,255.0,111.0,111.0,111.0,255.0,100.331,100.331,100.331,0.0,650638.0,650638.0,650638.0,1.60599e+06,131.0,131.0,131.0,255.0,103.309,103.309,103.309,255.0,86.0,86.0,86.0,255.0,51.3007,51.3007,51.3007,0.0
5,0,6,0,Label 2,0.15,0.85,300.0,5.3756,4.48775,36618.0,36618.0,36618.0,76500.0,326.42,58.6,336.0,67.0,315.0,50.0,136.0,136.0,136.0,255.0,0.57735,0.707107,0.0,0.408248,0.57735,-0.707107,0.0,0.408248,0.57735,0.0,0.0,-0.816497,0.0,0.0,1.0,-0.0,0.952024,0.306024,0.306024,-0.952024,122.06,122.06,122.06,255.0,107.0,107.0,107.0,255.0,52.9031,52.9031,52.9031,0.0,474182.0,474182.0,474182.0,1.17657e+06,189.0,189.0,189.0,255.0,102.77,102.77,102.77,255.0,60.0,60.0,60.0,255.0,198.268,198.268,198.268,0.0
6,0,7,0,Label 1,0.61,0.39,225.0,4.36169,4.16946,27691.0,27691.0,27691.0,57375.0,508.476,74.5422,517.0,83.0,501.0,66.0,134.0,134.0,134.0,255.0,0.57735,-0.594395,0.0,-0.559787,0.57735,0.781987,0.0,-0.234867,0.57735,-0.187592,0.0,0.794654,0.0,-0.0,1.0,0.0,0.133959,-0.990987,0.990987,0.133959,123.071,123.071,123.071,255.0,105.0,105.0,105.0,255.0,35.5594,35.5594,35.5594,0.0,433775.0,433775.0,433775.0,1.11282e+06,137.0,137.0,137.0,255.0,99.3985,99.3985,99.3985,255.0,85.0,85.0,85.0,255.0,53.2127,53.2127,53.2127,0.0
7,0,8,0,Label 1,0.87,0.13,302.0,7.09454,4.14819,32655.0,32655.0,32655.0,77010.0,1614.86,117.917,1623.0,128.0,1605.0,102.0,113.0,113.0,113.0,255.0,0.57735,0.707107,0.0,0.408248,0.57735,-0.707107,0.0,0.408248,0.57735,0.0,0.0,-0.816497,0.0,0.0,1.0,-0.0,-0.248447,-0.968645,0.968645,-0.248447,108.129,108.129,108.129,255.0,104.0,104.0,104.0,255.0,4.43697,4.43697,4.43697,0.0,488339.0,488339.0,488339.0,1.27908e+06,111.0,111.0,111.0,255.0,97.3563,97.3563,97.3563,255.0,88.0,88.0,88.0,255.0,13.0459,13.0459,13.0459,0.0
8,0,9,0,Label 1,0.69,0.31,262.0,5.15425,4.20461,34448.0,34448.0,34448.0,66810.0,1261.23,112.015,1269.0,120.0,1250.0,103.0,146.0,146.0,146.0,255.0,0.57735,0.0,-0.719025,-0.386872,0.57735,0.0,0.0244713,0.81613,0.57735,0.0,0.694553,-0.429258,0.0,1.0,0.0,0.0,0.841892,-0.539646,-0.539646,-0.841892,131.481,131.481,131.481,255.0,111.0,111.0,111.0,255.0,88.8222,88.8222,88.8222,0.0,489221.0,489221.0,489221.0,1.15719e+06,255.0,255.0,255.0,255.0,107.805,107.805,107.805,255.0,89.0,89.0,89.0,255.0,673.844,673.844,673.844,0.0
9,0,10,0,Label 1,0.92,0.08,1425.0,27.0762,5.848,173554.0,173554.0,173554.0,363375.0,1696.7,151.008,1724.0,198.0,1672.0,115.0,134.0,134.0,134.0,255.0,0.57735,0.707107,0.0,0.408248,0.57735,-0.707107,0.0,0.408248,0.57735,0.0,0.0,-0.816497,0.0,0.0,1.0,-0.0,0.407345,-0.913274,0.913274,0.407345,121.792,121.792,121.792,255.0,113.0,113.0,113.0,255.0,14.1098,14.1098,14.1098,0.0,940369.0,940369.0,940369.0,2.37176e+06,127.0,127.0,127.0,255.0,101.104,101.104,101.104,255.0,94.0,94.0,94.0,255.0,24.808,24.808,24.808,0.0
